Il riflettore radar è obbligatorio quando le imbarcazioni navigano:,oltre 12 miglia dalla costa:,entro 6 miglia dalla costa.,entro 12 miglia dalla costa.,oltre 12 miglia dalla costa:
Una zattera di salvataggio deve essere revisionata:,annualmente.,ogni due anni.,ogni tre anni.,ogni due anni.
L'E.P.I.R.B. è un trasmettitore di emergenza:,programmato con il codice MMSI assegnato dal Ministero dello Sviluppo economico.,programmato con il codice MMSI assegnato dalle Direzioni Marittime.,programmato con il codice MMSI assegnato dal Ministero degli Interni.,programmato con il codice MMSI assegnato dal Ministero dello Sviluppo economico.
La quantità di cinture di salvataggio da tenere a bordo:,deve essere il 20% in più del numero massimo di persone imbarcabili.,è in relazione al numero di persone imbarcate.,è in relazione al numero massimo di persone imbarcabili.,è in relazione al numero di persone imbarcate.
"Normalmente, qual è all'incirca la portata diurna dei razzi a paracadute a luce rossa?",9 miglia.,7 miglia.,5 miglia.,7 miglia.
"Normalmente, qual è la durata di accensione dei razzi a paracadute a luce rossa utilizzata da un'imbarcazione da diporto?",circa 2 minuti.,circa 3 minuti.,meno di 1 minuto.,meno di 1 minuto.
E' obbligatorio il radar?,"si, sempre.",si solo oltre le 12 miglia dalla costa.,"no, ma è consigliato per la navigazione notturna.","no, ma è consigliato per la navigazione notturna."
Quali sono i range di dotazioni corrette per fanali e segnali luminosi?,"fino a 3 miglia, fino a 6 miglia, fino a 12 miglia, fino a 50 miglia, senza limiti dalla
costa.","fino a 12 miglia, oltre 12 miglia dalla costa.","fino a 6 miglia, fino a 50 miglia, senza limiti dalla costa.","fino a 3 miglia, fino a 6 miglia, fino a 12 miglia, fino a 50 miglia, senza limiti dalla
costa."
Quale affermazione è corretta?,la navigazione entro 12 miglia e fino a 50 miglia dalla costa prevede le medesime dotazioni luminose d'emergenza.,la navigazione entro 12 miglia e fino a 50 miglia dalla costa prevede diverse dotazioni luminose d'emergenza.,la navigazione entro 3 miglia ed entro 6 miglia dalla costa prevede le medesime dotazioni luminose d'emergenza.,la navigazione entro 12 miglia e fino a 50 miglia dalla costa prevede diverse dotazioni luminose d'emergenza.
E' necessaria la zattera costiera:,"per la navigazione oltre 6 miglia dalla costa, senza limiti.","per la navigazione oltre 6 miglia dalla costa, fino alle 12 miglia dalla costa.",per la navigazione oltre 1 miglio dalla costa.,"per la navigazione oltre 6 miglia dalla costa, fino alle 12 miglia dalla costa."
Per un'imbarcazione da diporto quando è obbligatorio l'uso dell'EPIRB?,quando naviga entro le 24 miglia nautiche dalla costa.,quando naviga oltre le 50 miglia nautiche dalla costa.,quando naviga entro le 50 miglia nautiche dalla costa.,quando naviga oltre le 50 miglia nautiche dalla costa.
La zattera di salvataggio costiera non è prevista:,quando naviga oltre le 12 miglia nautiche dalla costa.,"quando naviga oltre 6 miglia dalla costa, fino alle 12 miglia dalla costa.",quando naviga entro le 6 miglia dalla costa.,quando naviga entro le 6 miglia dalla costa.
La zattera di salvataggio (non costiera) per tutte le persone presenti a bordo quando deve essere mantenuta su un'imbarcazione da diporto?,Quando naviga oltre le 12 miglia nautiche dalla costa.,Quando naviga entro le 12 miglia nautiche dalla costa.,Mai.,Quando naviga oltre le 12 miglia nautiche dalla costa.
Su quale documento è riportato il numero delle persone trasportabili sui natanti da diporto prodotti in serie?,certificato di stazza.,certificazione di omologazione.,manuale del proprietario.,certificazione di omologazione.
A che distanza dalla costa i conduttori di tavole a vela hanno l'obbligo di indossare il mezzo di salvataggio individuale?,entro 1 miglia dalla costa.,indipendentemente dalla distanza dalla costa.,entro 300 metri dalla costa.,indipendentemente dalla distanza dalla costa.
Per un'imbarcazione da diporto che naviga entro le 12 miglia nautiche dalla costa è obbligatorio avere a bordo la zattera di salvataggio (non costiera)?,"no, fino ad un massimo di sei persone a bordo.","sì, sempre.",No.,No.
Per un'imbarcazione da diporto quando è obbligatorio l'uso dell'apparato VHF?,quando naviga entro le 6 miglia nautiche dalla costa.,quando è autorizzata alla navigazione occasionale.,quando naviga oltre le 6 miglia nautiche dalla costa.,quando naviga oltre le 6 miglia nautiche dalla costa.
Quanti fuochi a mano a luce rossa deve mantenere a bordo un'imbarcazione da diporto che naviga entro le 50 miglia nautiche dalla costa?,uno.,tre.,due.,tre.
Quanti razzi a paracadute a luce rossa deve mantenere a bordo una imbarcazione da diporto che naviga entro le 50 miglia nautiche dalla costa?,quattro.,tre.,due.,tre.
Per un'imbarcazione da diporto quando è obbligatorio l'uso del binocolo?,sempre.,quando naviga entro le 12 miglia nautiche dalla costa.,quando naviga oltre le 12 miglia nautiche dalla costa.,quando naviga oltre le 12 miglia nautiche dalla costa.
"I conduttori di tavole a vela, acquascooter e unità similari:","indossano  permanentemente un mezzo di salvataggio individuale, comprese le persone  trasportate, indipendentemente dalla distanza dalla costa in cui la navigazione si svolge.","indossano  permanentemente un mezzo di salvataggio individuale, indipendentemente dalla distanza dalla costa in cui la navigazione si svolge, a esclusione delle persone trasportate.","indossano
permanentemente un mezzo di salvataggio individuale, esclusivamente in navigazione entro le sei miglia nautiche dalla costa, incluse le persone trasportate.","indossano  permanentemente un mezzo di salvataggio individuale, comprese le persone  trasportate, indipendentemente dalla distanza dalla costa in cui la navigazione si svolge."
Quali sono i medicinali e gli oggetti di medicazione di cui devono essere provviste le unità navali da diporto?,sono stabilite nel Regolamento di esecuzione al Codice della navigazione.,sono fissate nel decreto 1° ottobre 2015 del Ministero della Salute.,sono stabilite dal comandante dell'unità.,sono fissate nel decreto 1° ottobre 2015 del Ministero della Salute.
"Le dotazione minima indispensabile del materiale sanitario di cui devono essere dotate le imbarcazioni da diporto impiegate in attività di noleggio ""senza limiti"" dalla costa è la medesima di quella delle unità non impiegate in attività di noleggio?",si.,"no, è fissata in un apposita tabella.","si, ma raddoppia la dotazione di cotone.","no, è fissata in un apposita tabella."
"Qual è la Tabella delle dotazioni contenente la quantità minima indispensabile del materiale sanitario di cui devono essere dotate le imbarcazioni da diporto abilitate alla navigazione senza alcun limite, senza personale imbarcato e non impiegate in attività di noleggio?","Tabella ""A"".","Tabella ""B"".","Tabella ""D"".","Tabella ""D""."
Quale tra queste affermazioni è corretta?,le unità da diporto in navigazione entro le 12 miglia nautiche dalla costa devono essere dotate di una cassetta di pronto soccorso.,le unità da diporto in navigazione oltre le 12 miglia nautiche dalla costa devono essere dotate di una cassetta di pronto soccorso.,"le unità da diporto in navigazione entro le 3 miglia nautiche dalla costa devono essere dotate di una
cassetta di pronto soccorso.",le unità da diporto in navigazione oltre le 12 miglia nautiche dalla costa devono essere dotate di una cassetta di pronto soccorso.
Dove è possibile convalidare il certificato di sicurezza?,presso qualsiasi agenzia di sicurezza per la navigazione.,non è possibile convalidare il certificato di sicurezza.,presso qualsiasi STED (Sportello Telematico del Diportista) in seguito alla visita ispettiva dell'Organismo tecnico.,presso qualsiasi STED (Sportello Telematico del Diportista) in seguito alla visita ispettiva dell'Organismo tecnico.
Un'unità da diporto deve essere sottoposta a visita occasionale:,solo se l'unità viene messa a mare dopo essere stata a secco.,solo se l'unità viene fermata per un controllo della Capitaneria di porto - Guardia costiera.,"a seguito di danni o mutamenti dello scafo o dell'apparato motore, se sono mutate le condizioni di navigabilità o di sicurezza.","a seguito di danni o mutamenti dello scafo o dell'apparato motore, se sono mutate le condizioni di navigabilità o di sicurezza."
"Un'imbarcazione da diporto munita di Marcatura CE, è soggetta a visite:",periodiche ed occasionali.,solo su richiesta dell'Autorità marittima.,in caso di ritiro della licenza di navigazione.,periodiche ed occasionali.
Quali unità da diporto sono soggette alle visite periodiche di sicurezza?,solo le imbarcazioni da diporto.,solo i natanti da diporto.,solo le imbarcazioni e le navi da diporto.,solo le imbarcazioni e le navi da diporto.
Il certificato di sicurezza per imbarcazioni da diporto è rilasciato:,"dall'Archivio telematico delle unità da diporto attraverso lo STED, Sportello telematico del diportista",dalla ditta costruttrice.,dall'Organismo tecnico notificato o autorizzato.,"dall'Archivio telematico delle unità da diporto attraverso lo STED, Sportello telematico del diportista"
"Nel corso della visita iniziale di sicurezza, l'Organismo tecnico notificato o autorizzato:",rilascia la licenza di esercizio RTF.,determina il numero massimo delle persone trasportabili.,rilascia la Licenza di Navigazione.,determina il numero massimo delle persone trasportabili.
L'imbarcazione da diporto iscritta è sottoposta a visita occasionale:,l'unità stessa viene iscritta in un registro straniero.,l'unità stessa deve affrontare una navigazione di trasferimento.,se ne verifica la necessità.,se ne verifica la necessità.
"Superata la prima scadenza del certificato di sicurezza, ogni quanti anni deve essere sottoposta a visita un'imbarcazione da diporto ai fini del rinnovo del certificato medesimo?",8 anni.,5 anni.,10 anni.,5 anni.
La licenza è sottoposta a convalida?,"si, ogni 3 anni.","si, ogni 5 anni.","no, si convalida il certificato di  sicurezza.","no, si convalida il certificato di  sicurezza."
I natanti da diporto sono soggetti al rilascio del certificato di sicurezza?,"sì, ogni 3 anni.","sì, ogni 5 anni.","no, non sono soggetti.","no, non sono soggetti."
La convalida del Certificato di Sicurezza di un'imbarcazione da diporto va effettuata:,ogni qualvolta viene varata.,ogni 20 anni.,nel caso in cui l'unità abbia subito gravi avarie o siano state apportate innovazioni.,nel caso in cui l'unità abbia subito gravi avarie o siano state apportate innovazioni.
Quali tra questi requisiti sono necessari per il rinnovo del Certificato di Sicurezza di un'unità da diporto?,rilascio di apposita attestazione di idoneità da parte della Motorizzazione Civile territoriale.,rilascio di apposita attestazione di idoneità da parte di un Organismo Tecnico affidato.,rilascio di apposita attestazione di idoneità da parte dell'Ufficio Marittimo.,rilascio di apposita attestazione di idoneità da parte di un Organismo Tecnico affidato.
Il Certificato di Sicurezza:,si rinnova di diritto ogni 3 anni.,si rinnova ogni 5 anni.,si rinnova quando richiesto dall'Organismo Tecnico affidato.,si rinnova ogni 5 anni.
"Il Certificato di Sicurezza di un'unità da diporto, in caso di primo rilascio:",ha validità di otto anni dall'immatricolazione per le unità  appartenenti  alle categorie di progettazione A e B.,ha validità di cinque anni dall'immatricolazione per le unità  appartenenti  alle categorie di progettazione A e B.,"ha validità di cinque anni dall'immatricolazione per le unità  appartenenti  alle categorie di progettazione A, B e C.",ha validità di otto anni dall'immatricolazione per le unità  appartenenti  alle categorie di progettazione A e B.
"Il Certificato di Sicurezza di un'unità da diporto, in caso di primo rilascio,",ha validità di otto anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione C e D.,ha validità di dieci anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione C e D.,"ha validità di cinque anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione B, C e D.",ha validità di dieci anni dall'immatricolazione per le unità appartenenti alle categorie di progettazione C e D.
Il certificato di sicurezza di un'unità da diporto:,riporta il certificato di stazza per le imbarcazioni non omologate.,è rinnovato con cadenza annuale.,è rinnovato in occasione delle visite periodiche.,è rinnovato in occasione delle visite periodiche.
Un'unità da diporto munita di marcatura CE classe B effettua la prescritta visita periodica dopo:,10 anni dalla data di immatricolazione; le successive ogni 5 anni.,8 anni dalla data di immatricolazione; le successive ogni 5 anni.,10 anni dalla data di costruzione; le successive ogni 8 anni.,8 anni dalla data di immatricolazione; le successive ogni 5 anni.
In quale documento viene annotato l'esito della visita eseguita dall'Organismo Tecnico notificato o autorizzato?,certificato di sicurezza.,licenza di navigazione.,manuale del proprietario.,certificato di sicurezza.
Quale affermazione è vera tra le alternative di risposta sotto riportate?,la patente nautica è sempre obbligatoria.,il certificato di sicurezza è soggetto a scadenza.,la licenza di navigazione è soggetta a scadenza.,il certificato di sicurezza è soggetto a scadenza.
"In caso di falla irreparabile a bordo, il Comandante lancia via radio il:",PAN PAN e mette l'equipaggio alle pompe di sentina.,SECURITE' ed aspetta i soccorsi.,MAYDAY e opera per la salvezza delle persone a bordo.,MAYDAY e opera per la salvezza delle persone a bordo.
"In caso di falla, quale operazione è la più corretta tra quelle riportate nelle seguenti alternative risposta:",imbarcare acqua per compensare la pressione.,tamponare la falla dall’esterno in modo che la pressione dell’acqua non faccia spostare il “tappo” di fortuna.,sbandare l'unità sul lato della falla.,tamponare la falla dall’esterno in modo che la pressione dell’acqua non faccia spostare il “tappo” di fortuna.
Quando può verificarsi l'incaglio volontario?,quando si arrestano gli apparati di radio comunicazione.,quando si decide volontariamente di disattivare gli apparati di radio navigazione.,"quando si conduce volontariamente l'unità navale ad incagliarsi per scongiurare un potenziale naufragio derivante da una falla, un incendio o una collisione con un'altra unità.","quando si conduce volontariamente l'unità navale ad incagliarsi per scongiurare un potenziale naufragio derivante da una falla, un incendio o una collisione con un'altra unità."
Quali fattori devono essere tenuti in debita considerazione per procedere alle operazioni di disincaglio?,"tipo e rilievo dei fondali, entità dell'avaria subita, manovra più idonea da porre in essere in relazione alle
caratteristiche dell'unità e del luogo in cui si è verificato il sinistro.",altezza del bordo libero.,tipo di timone di cui dispone l'unità navale.,"tipo e rilievo dei fondali, entità dell'avaria subita, manovra più idonea da porre in essere in relazione alle
caratteristiche dell'unità e del luogo in cui si è verificato il sinistro."
"Avuto riguardo all'incaglio, quale tra queste affermazioni è corretta?",l'incaglio può derivare a seguito della caduta di un uomo in mare.,l'incaglio può derivare a seguito della eccessiva cavitazione dell'elica.,l'incaglio può derivare da una  scarsa  accuratezza nella determinazione del punto nave in prossimità della costa.,l'incaglio può derivare da una  scarsa  accuratezza nella determinazione del punto nave in prossimità della costa.
"Avuto riguardo alla falla, quale tra queste affermazioni è corretta?",se si verifica una falla nella parte prodiera è opportuno arrestare il moto dell'unità navale per evitare che l'avanzamento della stessa possa incrementare l'afflusso d'acqua nel suo interno.,se si verifica una falla a prua è opportuno aumentare la velocità dell'unità navale per diminuire il flusso dell'acqua che tende ad allagare i compartimenti  prodieri.,se si verifica una falla a prua è opportuno spostare i pesi longitudinalmente verso proravia.,se si verifica una falla nella parte prodiera è opportuno arrestare il moto dell'unità navale per evitare che l'avanzamento della stessa possa incrementare l'afflusso d'acqua nel suo interno.
Quale tra queste procedure può essere effettuata nel caso in cui un'unità abbia subito una falla di lieve entità?,azionare la pompa di alimentazione.,azionare la pompa di sentina.,azionare la pompa di iniezione.,azionare la pompa di sentina.
Quale tra queste affermazioni è corretta?,a seguito della presenza di una falla può aumentare la rigidità dello scafo dovuta all'effetto osmotico.,la falla può compromettere la galleggiabilità dell'unità navale in quanto si verifica una riduzione della riserva di spinta  dell'unità  stessa.,a seguito della presenza di una falla può aumentare la rigidità del fasciame dovuta all'effetto capillare.,la falla può compromettere la galleggiabilità dell'unità navale in quanto si verifica una riduzione della riserva di spinta  dell'unità  stessa.
Quale soluzione può essere adottata al fine di disincagliare un'unità navale?,attendere il sopraggiungere dell'alta marea.,mettere in folle il motore.,imbarcare pesi lungo la verticale del punto d'incaglio.,attendere il sopraggiungere dell'alta marea.
Quale accorgimento può essere adottato al fine di ostruire al meglio una falla di notevoli dimensioni?,travasare carburante nella zona ubicata a proravia della linea trasversale dell'unità navale.,"tamponare la via d'acqua servendosi di materiali ingombranti quali, tele cerate, materassi  ecc..",limitare l'ingresso d'acqua dalla falla sbandando l'unità navale sul medesimo lato a quello dove si è verificata la stessa.,"tamponare la via d'acqua servendosi di materiali ingombranti quali, tele cerate, materassi  ecc.."
Quale tra le seguenti manovre può essere la più efficace per limitare i danni allorquando due unità sono in procinto di collidere?,appennellare l'ancora e filare a mare l'ancora galleggiante.,azionare preventivamente tutti gli apparati di radiocomunicazione.,"fermare il motore ed eventualmente ingranare la marcia indietro accostando contemporaneamente,  per attenuare l'impatto.","fermare il motore ed eventualmente ingranare la marcia indietro accostando contemporaneamente,  per attenuare l'impatto."
Si sviluppa un incendio a bordo e siamo in vicinanza di un porto: è giusto accelerare per raggiungere al più presto il porto?,no.,"sì, se il porto è attrezzato per l'estinzione di incendi a bordo di unità.","sì, sempre.",no.
"In caso di incendio nel vano motore, è necessario:",per prima cosa tentare di chiudere la valvola del carburante.,aerare il più possibile il vano motore per  spegnere le fiamme.,per prima cosa porre l'imbarcazione con le fiamme sopravento.,per prima cosa tentare di chiudere la valvola del carburante.
"In caso di incendio in coperta, è essenziale:",porre l'imbarcazione con le fiamme sottovento.,spegnere il  motore.,scollegare le batterie.,porre l'imbarcazione con le fiamme sottovento.
"In caso d'incendio con fiamma alta, dove dirigiamo il getto dell'estintore?",sopra le fiamme in modo tale da allontanare anche il fumo.,al centro della fiamma.,alla base della fiamma.,alla base della fiamma.
In caso di grave incendio a bordo:,bisogna porre subito l'imbarcazione con le fiamme sopravento.,appronto le procedure per l'abbandono nave.,bisogna  spegnere immediatamente le strumentazioni di bordo.,appronto le procedure per l'abbandono nave.
Un quadro elettrico di bordo ha preso fuoco; estinguo l'incendio:,utilizzando acqua di mare.,utilizzando un estintore a polvere.,utilizzando un estintore a schiuma.,utilizzando un estintore a polvere.
"Il comandante a bordo, in caso di incendio, che ordine primario deve  dare?",gettate subito acqua sul fuoco.,indossare i giubbetti di salvataggio e allontanarsi dall'incendio.,abbandonare l'unità.,indossare i giubbetti di salvataggio e allontanarsi dall'incendio.
"C'è un incendio al vano poppiero motore, conduco l'unità in modo da:",mettere la prora sottovento.,mettere l’incendio sottovento.,mettere l’incendio sopravento.,mettere l’incendio sottovento.
"In caso di incendio, mentre si manovra in porto, il primo intervento più opportuno è quello di:",spegnere il motore e richiedere soccorso emettendo 5 o più suoni brevi.,tentare di allontanare l'unità dal porto operando per lo spegnimento.,dirigersi rapidamente verso l'ormeggio più vicino per ricevere dai servizi portuali l'aiuto allo spegnimento.,tentare di allontanare l'unità dal porto operando per lo spegnimento.
A quale funzione assolve la ventilazione forzata a bordo delle unità navali da diporto dotate di motore a benzina?,"assicurare, prima  dell'avvio del motore, il completo ricambio dell'aria.",sovralimentare l'impianto di alimentazione del carburante.,mantenere costante la temperatura della testata dell'apparato motore.,"assicurare, prima  dell'avvio del motore, il completo ricambio dell'aria."
"Come si estingue un incendio derivante da combustione di sostanze comuni (legno, tessuti e carta)?",con ossigeno ad alta pressione.,mediante azione di raffreddamento ottenuta attraverso getti d'acqua.,attraverso l'intensa aspirazione di vapori.,mediante azione di raffreddamento ottenuta attraverso getti d'acqua.
Quale accorgimento è necessario adottare se l'incendio si sviluppa nella zona poppiera dell'unità navale?,orientare la poppa al vento.,prendere il mare al giardinetto.,orientare la prua al vento.,orientare la prua al vento.
Come si estingue un incendio derivante da combustione di sostanze liquide?,"mediante l'azione di soffocamento  generata, polvere chimica, schiuma, anidride carbonica (CO2) o altro gas inerte.","mediante la ventilazione forzata del  locale interessato, riducendo il numero di giri del motore, azionando il circuito di  condizionamento.",intercettando il pacco batterie e disattivando il gruppo   generatore.,"mediante l'azione di soffocamento  generata, polvere chimica, schiuma, anidride carbonica (CO2) o altro gas inerte."
Quali contromisure possono essere adottate in caso di incendio sviluppatosi nel locale apparato motore?,chiudere immediatamente le vie d'aria e l'alimentazione del combustibile.,azionare immediatamente le turbine di sovralimentazione per favorire l'estinzione dell'incendio.,aprire tutti i boccaporti del locale  motore per favorirne l'aerazione.,chiudere immediatamente le vie d'aria e l'alimentazione del combustibile.
Quale manovra può essere adottata in caso di incendio verificatosi nella zona prodiera di un'unità navale da diporto?,porre la prora al vento e quindi la poppa sottovento.,incrementare  repentinamente la velocità dell'unità navale.,porre la poppa al vento e quindi la prora sottovento.,porre la poppa al vento e quindi la prora sottovento.
Il numero e il posizionamento degli estintori di una unità marcata  CE:,è fissato dal Codice della navigazione.,è stabilito dalle ordinanze dell'Autorità marittima.,è stabilito nel Manuale del proprietario.,è stabilito nel Manuale del proprietario.
Per le imbarcazioni da diporto NON marcata CE (immesse sul mercato prima del 17 giugno 1998) il numero e il posizionamento degli estintori è stabilito dal Regolamento di attuazione al Codice della nautica secondo la potenza del motore?,"no, non è stabilito.","si, e prevede un minimo di 1 estintore al posto di guida e 1 estintore in ciascuno degli altri locali.","no, è stabilito dalle ordinanze dell'Autorità marittima, con il minimo di 1 estintore.","si, e prevede un minimo di 1 estintore al posto di guida e 1 estintore in ciascuno degli altri locali."
"Durante la manovra a motore di recupero di uomo a mare, come deve essere effettuato l'avvicinamento finale verso il naufrago?",a velocità costante.,"rapidamente, riducendo la velocità con l'elica a marcia indietro quando giunti in prossimità del naufrago, possibilmente  sgasando.","con prudenza, dopo aver smaltito la velocità iniziale.","con prudenza, dopo aver smaltito la velocità iniziale."
Quali tra queste azioni è la più opportuna da compiere in caso di uomo in mare?,arrestare  immediatamente  i motori dell'unità navale ingranando la marcia indietro.,aumentare al  massimo la velocità con il timone alla banda  per  compiere un'evoluzione di 360° per fini perlustrativi.,lanciare il salvagente anulare presente a bordo in direzione del naufrago.,lanciare il salvagente anulare presente a bordo in direzione del naufrago.
"Un uomo cade in mare di prora lato dritto, da una imbarcazione che procede a motore, quale delle tre manovre in figura a fianco è corretta?",la manovra in figura A.,la manovra in figura B.,la manovra in figura C.,la manovra in figura B.
Al grido ”uomo in mare a ... (sinistra o a dritta)”:,si accosta rapidamente dallo stesso lato dell’uomo in mare.,si accosta rapidamente dal lato opposto dell’uomo in mare.,"si accelera per recuperare rapidamente l'uomo a mare, accostando indifferentemente a dritta oppure a sinistra.",si accosta rapidamente dallo stesso lato dell’uomo in mare.
Quale tra queste precauzioni è la più opportuna adottare in caso di uomo in mare?,dare fondo all'ancora.,mantenere un costante controllo visivo del naufrago.,collocare tutti i parabordi lungo l'opera morta.,mantenere un costante controllo visivo del naufrago.
Qual è il motivo per cui in caso di uomo a mare si accosta tempestivamente dallo stesso lato dal quale è caduto il naufrago?,per allontanare subito le eliche dell'unità quanto più possibile dal naufrago.,per orientare l'unità controvento.,per offrire al naufrago il ridosso dagli agenti meteomarini.,per allontanare subito le eliche dell'unità quanto più possibile dal naufrago.
Qual è il motivo per cui è opportuno mantenere il controllo visivo del naufrago subito dopo la sua caduta in mare?,confortare il naufrago rassicurandolo  circa l'intendimento dell'unità navale di trarlo in salvo.,per determinare la lunghezza di cima necessaria per lanciare il salvagente individuale.,"agevolare le operazioni di recupero del naufrago durante la manovra evolutiva effettuata dall'unità, scongiurando il rischio che lo stesso possa disperdersi.","agevolare le operazioni di recupero del naufrago durante la manovra evolutiva effettuata dall'unità, scongiurando il rischio che lo stesso possa disperdersi."
Quale tra queste azioni è la più opportuna intraprendere durante le fasi di recupero di un uomo caduto in mare da un'unità navale?,dare fondo all'ancora per mantenere fissa la posizione dell'unità navale durante le operazioni di recupero.,filare a mare l'ancora galleggiante in modo da mantenere la prua al vento durante le operazioni di recupero.,lanciare in mare il  salvagente anulare quanto più possibile nelle vicinanze del naufrago per agevolarne il recupero.,lanciare in mare il  salvagente anulare quanto più possibile nelle vicinanze del naufrago per agevolarne il recupero.
Nel caso in cui un membro dell'equipaggio cada in mare dal lato dritto dell'unità:,occorre  accostare immediatamente a sinistra mantenendo un adeguato servizio di vedetta sul medesimo lato al fine di prevenire eventuali collisioni con altre unità navali o ostacoli posti nelle immediate vicinanze.,si deve mettere immediatamente a folle il motore e successivamente ingranarlo a marcia indietro al fine di allontanarsi il meno possibile dal naufrago.,"occorre   accostare immediatamente il timone a dritta mantenendo il  costante controllo visivo del
naufrago.","occorre   accostare immediatamente il timone a dritta mantenendo il  costante controllo visivo del
naufrago."
In caso di sinistro e conseguente abbandono dell'unità il comandante:,spegne il motore.,fa indossare a ciascuna persona a bordo il giubbotto di salvataggio.,prepara le bandiere di segnalamento.,fa indossare a ciascuna persona a bordo il giubbotto di salvataggio.
In caso di abbandono dell'imbarcazione:,per prima cosa si lancia la zattera in mare.,"la sagola della zattera deve essere fissata alla barca, prima di lanciarla in acqua.",si gonfia il tender.,"la sagola della zattera deve essere fissata alla barca, prima di lanciarla in acqua."
In quale posizione non è opportuno posizionare la zattera di salvataggio?,sottocoperta.,sulla tuga.,sul pulpito di poppa.,sottocoperta.
In quale posizione non è opportuno posizionare la zattera di salvataggio?,in un vano ricavato nello specchio di poppa.,in un gavone chiuso in posizione difficilmente raggiungibile.,sulla tuga.,in un gavone chiuso in posizione difficilmente raggiungibile.
"Il ""Grab Bag"" è:",è quel sacco contenente le dotazioni normalmente custodite all'interno della zattera di salvataggio.,la sacca contente i giubbotti i salvataggio  quando  sono riposti.,un'attrezzatura velica.,è quel sacco contenente le dotazioni normalmente custodite all'interno della zattera di salvataggio.
"Il ""Grab Bag"" deve:",essere custodito e protetto in un gavone sottocoperta per evitare danneggiamenti al suo contenuto.,essere tenuto a portata di mano in modo da poter essere lanciato nella zattera di salvataggio in caso di abbandono della barca.,essere tenuto saldamente legato con una cinghia alla custodia rigida della zattera.,essere tenuto a portata di mano in modo da poter essere lanciato nella zattera di salvataggio in caso di abbandono della barca.
Cosa si intende per soccorso marittimo?,le attività tese a prendere a rimorchio un'unità in avaria.,tutte le attività finalizzate alla ricerca ed al salvataggio della vita umana in mare.,l'evacuazione medica a bordo di un'unità.,tutte le attività finalizzate alla ricerca ed al salvataggio della vita umana in mare.
Qual è l'organismo nazionale che assicura il coordinamento generale dei servizi di soccorso marittimo?,il Comando Generale del Corpo delle Capitanerie di Porto.,il Dipartimento della Protezione   Civile.,la stazione radio costiera.,il Comando Generale del Corpo delle Capitanerie di Porto.
"In caso di un grave infortunio occorso ad un membro dell'equipaggio durante la navigazione, quale Ente sarà opportuno contattare il prima possibile?",guardia medica più vicina.,Centro Internazionale Radio Medico (CIRM).,Croce Rossa internazionale.,Centro Internazionale Radio Medico (CIRM).
Quando l'Autorità Marittima può ordinare alle unità da diporto di partecipare alle attività di soccorso in mare?,quando si trovano in porto o nelle vicinanze.,solo se in navigazione.,a prescindere dalla distanza in cui si trovano.,quando si trovano in porto o nelle vicinanze.
In quali condizioni è obbligatorio per un comandante di un'unità da diporto prestare assistenza ad un'altra unità in pericolo?,quando la distanza tra le due unità non è superiore alle 12 miglia nautiche e quando non sussiste il rischio per l'unità soccorritrice e delle persone ivi imbarcate.,quando a bordo dell'unita in difficoltà vi sono persone in pericolo di vita e quando non sussiste il rischio per l'unità soccorritrice e delle persone ivi imbarcate.,quando la distanza tra le due unità non è superiore alle 6 miglia nautiche e quando non sussiste il rischio per l'unità soccorritrice e delle persone ivi imbarcate.,quando a bordo dell'unita in difficoltà vi sono persone in pericolo di vita e quando non sussiste il rischio per l'unità soccorritrice e delle persone ivi imbarcate.
"Ai sensi del Codice della Navigazione, quale tra queste affermazioni è la più corretta per quanto concerne ""l'abbandono nave""?","il comandante dell'unità ordina ""l'abbandono"" della stessa solo dopo aver
accertato di persona che tutti i mezzi suggeriti dall'arte nautica non sono in grado di salvarla.","il comandante dell'unità ordina ""l'abbandono"" della stessa solo dopo aver verificato di persona che oltre alla presenza di infiltrazioni nello scafo si sia verificata la contemporanea avaria degli organi propulsivi.","il comandante ordina ""l'abbandono""  della  stessa solo dopo aver verificato di persona il  mancato funzionamento di tutti gli apparati  di  navigazione.","il comandante dell'unità ordina ""l'abbandono"" della stessa solo dopo aver
accertato di persona che tutti i mezzi suggeriti dall'arte nautica non sono in grado di salvarla."
"In caso di urto tra due o più unità navali, i Comandanti delle stesse sono obbligati a fornire alle altre unità navali coinvolte le notizie per identificare la propria?",no.,"si, nei limiti del possibile.",solo previo accordo tra i Comandanti delle unità navali coinvolte.,"si, nei limiti del possibile."
Quale accorgimento deve adottare il comandante dell'unità da diporto prima di ordinare l'abbandono della stessa?,accertarsi che tutte le persone imbarcate indossino le cinture di salvataggio e che l'eventuale mezzo collettivo di salvataggio (zattera) sia equipaggiato con le previste dotazioni di sicurezza.,accertarsi che i serbatoi di carburante siano stati svuotati.,accertarsi che sia stata intercettata la linea di alimentazione elettrica.,accertarsi che tutte le persone imbarcate indossino le cinture di salvataggio e che l'eventuale mezzo collettivo di salvataggio (zattera) sia equipaggiato con le previste dotazioni di sicurezza.
